"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"229",="8924","大田","73.4","-0.2","-0.27","10","低","77.73","102.5","52.06","1.97","8.82","8.81","13.2","5.9","11.6","過高","34.4","1.53","2.26","1.51","2.98","近低"
"230",="6835","圓裕","53.6","+0.7","+1.32","3","近高","45.16","53.95","37.68","1.43","3.63","12.5","13.2","10.4","14.9","近高","25.49","1.87","1.77","1.48","2.12","近高"
"231",="1720","生達","62.8","+0.3","+0.48","10","過高","47.34","58.63","41.32","1.42","3.71","12.8","13.2","11.2","15.8","近低","25.89","1.9","1.83","1.6","2.26","近低"
"232",="8941","關中","67.5","+0.5","+0.75","10","過高","54.56","65.57","44.84","1.46","4.83","11.3","13.2","9.28","13.6","近高","28.12","2.56","1.94","1.59","2.33","過高"
"233",="2066","世德","105","+2.5","+2.44","10","近高","83.01","105.9","67.76","1.56","5.72","14.5","13.3","11.9","18.5","近低","36.13","2.11","2.3","1.88","2.93","近低"
"234",="1104","環泥","30.3","+0.3","+1","10","過高","24.08","28.4","20.78","1.37","2.33","10.3","13.3","8.92","12.2","過高","29.23","0.89","0.82","0.71","0.97","近高"
"235",="9942","茂順","115.5","0","0","10","近高","98.51","117.1","81.6","1.43","7.05","14","13.3","11.6","16.6","近低","39.06","2.42","2.52","2.09","3","近低"
"236",="9951","皇田","59","+0.2","+0.34","10","破低","88.9","109.8","70.45","1.56","6.74","13.2","13.3","10.4","16.3","低","40.4","1.23","2.2","1.74","2.72","破低"
"237",="6641","基士德-KY","29.85","-0.7","-2.29","7","破低","54.29","63.15","44.29","1.43","4.15","13.1","13.3","10.7","15.2","近高","39.14","0.73","1.39","1.13","1.61","破低"
"238",="4303","信立","62.3","+1.1","+1.8","10","過高","32.34","54.8","16.75","3.27","3.25","9.95","13.3","5.15","16.9","高","16.66","3.39","1.94","1.01","3.29","過高"
"239",="6703","軒郁","158.5","-2","-1.25","5","低","185.6","263.5","109.9","2.4","9.37","19.8","13.3","11.7","28.1","近低","43.28","3.9","4.29","2.54","6.09","低"
"240",="2247","汎德永業","309","+5.5","+1.81","5","過高","266.6","306.3","230.4","1.33","16.22","16.4","13.4","14.2","18.9","破低","144.2","1.94","1.85","1.6","2.12","近高"
"241",="6261","久元","62.2","-0.4","-0.64","10","低","62.5","77.72","50.41","1.54","4.97","12.6","13.4","10.1","15.6","近高","48.97","1.22","1.28","1.03","1.59","近低"
"242",="4958","臻鼎-KY","117.5","-2","-1.67","10","近高","105","131.4","82.77","1.59","9.59","10.9","13.4","8.63","13.7","近高","83.67","1.09","1.26","0.99","1.57","近低"
"243",="1102","亞泥","41.8","-0.3","-0.71","10","近高","41.22","47","35.44","1.33","3.71","11.1","13.4","9.56","12.7","過高","43.64","0.83","0.94","0.81","1.08","近低"
"244",="3705","永信","51.9","-2.6","-4.77","10","過高","45.04","51.33","40.73","1.26","2.86","15.8","13.4","14.3","18","破低","24.7","1.8","1.82","1.65","2.08","近低"
"245",="2606","裕民","73.7","+2","+2.79","10","過高","44.41","59.85","33.74","1.77","2.91","15.3","13.4","11.6","20.6","近低","33","1.61","1.35","1.02","1.81","近高"
"246",="4909","新復興","110.5","0","0","10","過高","35.18","60.06","18.57","3.23","0.25","141","13.4","74.2","240","破低","26.41","3.36","1.33","0.7","2.27","過高"
"247",="3010","華立","115","-0.5","-0.43","10","過高","82.18","101.2","67.63","1.5","8.31","9.89","13.5","8.14","12.2","過高","60.55","1.34","1.36","1.12","1.67","低"
"248",="2496","卓越","89.8","-1.3","-1.43","10","近高","67.98","93.19","51.22","1.82","4.01","16.9","13.5","12.8","23.2","近低","38.66","1.99","1.76","1.32","2.41","近高"
"249",="6771","平和環保-創","57.9","+0.9","+1.58","1","近低","64.07","76.5","54.2","1.41","4.85","13.2","13.5","11.2","15.8","近高","23.57","2.17","2.72","2.3","3.25","破低"
"250",="6486","互動","86.7","-0.9","-1.03","9","過高","71.01","86.46","59.75","1.45","5.59","12.7","13.5","10.7","15.5","近高","30.49","2.31","2.33","1.96","2.84","近低"
"251",="5548","安倉","28.75","-0.15","-0.52","1","近低","34.96","43.4","26.4","1.64","2.16","16.2","13.6","12.2","20.1","近低","14.75","1.77","2.37","1.79","2.94","破低"
"252",="5533","皇鼎","19.8","-0.05","-0.25","10","近高","18.3","21.85","16.14","1.35","2.19","8.35","13.6","7.37","9.97","過高","28.78","0.59","0.64","0.56","0.76","近低"
"253",="8349","恒耀","61.3","-0.1","-0.16","10","近低","68.18","85.55","55.54","1.54","3.74","18.2","13.6","14.9","22.9","破低","34.6","1.76","1.97","1.6","2.47","近低"
