排名,代號,名稱_x,成交_x,漲跌價_x,漲跌幅_x,統計年數_x,股價目前落點,歷年股價平均,歷年股價高點平均,歷年股價低點平均,股價高低價差(倍),平均EPS,平均PER,目前PER,平均最低PER,平均最高PER,PER目前落點,平均BPS,目前PBR,平均PBR,平均最低PBR,平均最高PBR,PBR目前落點,名稱_y,成交_y,漲跌價_y,漲跌幅_y,統計年數_y,平均營收(億),營收成長(%),平均毛利(億),毛利成長(%),平均毛利(%),平均營益(億),營益成長(%),平均營益(%),平均淨利(億),淨利成長(%),平均淨利(%),平均ROA(%),平均ROA增減,平均ROE(%),平均ROE增減,平均EPS(元),平均EPS增減,平均財報評分
,"=""1213""",,,,,,,,,,,,,,,,,,,,,,,大飲,15.15,0.1,0.66,30.0,5.32,-7.97,0.39,-29.3,7.32,-0.3,-80.9,-5.65,-0.26,-56.7,-4.93,-3.53,-1.44,-9.94,-4.57,-0.44,-0.17,30.0
395.0,"=""1215""",卜蜂,102.5,2.8,2.81,10.0,過高,77.62,88.89,65.65,1.35,5.84,13.3,15.6,11.2,15.2,過高,30.95,2.83,2.51,2.12,2.87,近高,卜蜂,102.5,2.8,2.81,31.0,196,4.11,25.7,7.93,13.1,12,9.62,6.12,9.8,10.4,5.13,6.36,0.12,13.5,0.54,3.58,0.29,40.0
830.0,"=""1216""",統一,81.5,-1.3,-1.57,10.0,過高,71.16,79.16,63.83,1.24,3.5,20.4,24.2,18.3,22.6,過高,20.31,3.57,3.5,3.14,3.9,近高,統一,81.5,-1.3,-1.57,30.0,"3,943",5.54,"1,264",5.88,32.0,207,5.33,5.26,151,3.88,5.85,5.79,-0.05,15.1,0.13,2.84,0.07,51.0
565.0,"=""1217""",愛之味,12.2,0.1,0.83,10.0,過高,9.84,12.12,8.53,1.42,0.33,30.1,18.2,26.1,37.1,破低,12.51,0.8,0.79,0.68,0.97,近低,愛之味,12.2,0.1,0.83,30.0,44.2,0.97,14.3,-0.42,32.5,0.56,10.2,1.28,0.71,16.7,1.75,0.72,0.12,1.31,0.23,0.16,0.02,41.0
144.0,"=""1218""",泰山,20.1,0.05,0.25,10.0,近低,24.1,30.51,20.0,1.53,2.8,8.6,11.8,7.13,10.9,過高,17.64,0.77,1.37,1.13,1.73,破低,泰山,20.1,0.05,0.25,30.0,93.4,2.54,15,-0.15,16.1,-0.34,-4.82,-0.36,6.79,-5.49,7.24,6.93,-0.49,10.0,-0.76,1.43,-0.09,43.0
848.0,"=""1219""",福壽,14.85,-0.25,-1.66,10.0,破低,19.17,23.25,17.01,1.37,0.87,22.1,24.8,19.6,26.8,近高,13.06,1.13,1.47,1.3,1.78,破低,福壽,14.85,-0.25,-1.66,30.0,124,5.09,10.2,7.22,8.25,1.42,23.1,1.15,1.85,6.7,1.28,2.33,0.1,4.6,0.35,0.6,0.03,38.0
146.0,"=""1220""",台榮,17.0,-0.05,-0.29,10.0,近高,13.83,17.66,11.66,1.51,0.69,19.9,11.9,16.8,25.4,破低,12.91,1.23,1.07,0.9,1.37,近高,台榮,17.0,-0.05,-0.29,30.0,31.4,0.6,3.44,4.85,11.0,1.15,9.63,3.65,0.73,7.97,2.5,3.58,0.28,4.67,0.35,0.41,0.03,45.0
868.0,"=""1225""",福懋油,45.65,-1.95,-4.1,10.0,近低,59.25,87.2,41.38,2.11,1.64,36.2,25.6,25.3,53.2,近低,15.12,3.02,3.92,2.74,5.77,近低,福懋油,45.65,-1.95,-4.1,30.0,118,2.92,8.57,4.36,7.28,3.53,5.91,3.0,2.16,8.81,2.04,3.69,0.2,7.77,0.49,1.0,0.07,36.0
701.0,"=""1227""",佳格,35.35,-0.2,-0.56,10.0,破低,51.93,60.04,45.2,1.33,2.52,20.6,20.8,17.9,23.8,近低,18.6,1.81,2.79,2.43,3.23,破低,佳格,35.35,-0.2,-0.56,30.0,251,2.76,70.7,-0.1,28.2,25.2,-3.38,10.0,20.9,-3.08,8.46,10.7,-0.78,16.1,-1.15,2.75,-0.17,53.0
757.0,"=""1229""",聯華,52.0,-0.9,-1.7,10.0,近高,51.42,61.39,40.82,1.5,2.6,19.8,22.2,15.7,23.6,近高,26.27,1.85,1.96,1.55,2.34,近低,聯華,52.0,-0.9,-1.7,30.0,81.6,11.3,15.2,10.8,18.7,7.52,9.72,9.22,24.5,8.99,33.1,6.9,-0.08,8.6,-0.05,2.15,0.06,56.0
